9915,9915,9915,9915,9515,9315,9315,9315,9315,9315,9315,9315,9515,9515,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9515,9315,9315,10115,10115,10516,10917,10717,10717,10717,10717,10516,10315,10115,9915,9714,9714,9714,9714,9714,10115,10315,10315,10115,10315,10516,10516,10516,10516,10516,10315,10115,10115,10115,10115,9915,10115,10115,10115,9915,9915,9714,9714,9714,9714,9515,9714,9515,9515,9515,9515,9714,9714,9714,9714,9714,9714,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515,9714,9515,9515,9515,9714,9515,9515,9515,9515,9515,9515,9515,9515,9714,9515,9515,9515,9515,9714,9515,9714,9714,9714,10115,10115,10115,10315,10115,10115,10115,10115,10115,10115,10115,9915,9915,9915,9714,9714,9714,9714,9915,10115,10115,10315,10717,10917,11117,10917,10917,10917,10917,10917,10917,10717,10516,10315,10315,10315,10315,10315,10315,10315,10315,10115,9915,9515,9315,9315,9515,9515,9515,9515,9515,9315,9315,9515,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9515,9315,9315,9315,9315,9315,9315,9315,9315,9315,8914,8914,8713,8713,8713,8713,8713,8914,8914,8914,8914,8914,9115,9115,9315,9315,9315,9315,9515,9515,9515,9515,9515,9515,9515,9315,9315,9115,9115,9115,9315,9315,9315,9115,8914,8914,8914,8914,8914,8914,8914,8914,8914,9115,9115,9115,8914,8914,8914,8914,8914,8914,8914,9115,9115,9115,9315,9115,9115,9115,9115,9315,9714,9515,9515,9714,9714,9515,9515,9714,9915,10115,10115,10115,9915,9915,9915,9915,9714,9315,8914,8914,9115,9115,9115,9115,9315,9315,9515,9515,9714,9714,9714,8914,8914,8914,8914,8914,8914,8713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9915,9915,9915,9915,9514,9514,9514,9514,9715,9715,9915,9915,9915,9915,9514,9514,9315,9315,9315,9114,9114,9114,8914,9114,9114,9114,9114,8714,8914,8714,8714,8714,8514,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8514,8514,8714,8714,8914,8914,8914,9114,9315,9315,9514,9514,9514,9315,9315,9114,9114,9114,9114,9114,9114,9114,9114,9114,9315,9315,9315,9315,9514,9514,9315,9514,9315,9315,9114,8914,8514,8514,8514,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8314,8514,8714,8714,8914,8914,8914,8914,8914,8914,8914,8714,8714,9315,9715,10115,10115,10115,10115,9915,9915,9915,9915,9915,9915,9715,9715,9915,10115,9915,9915,9915,9915,9915,9715,9715,9715,9715,9715,9514,9514,9514,9514,8714,8914,8914,9114,9114,9315,9315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9114,9114,9314,9713,9713,9713,9713,9713,9713,9713,9713,9713,9713,9713,9713,9713,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9114,9114,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9515,9915,10516,10717,10917,11117,10917,10717,10717,10717,10717,10717,10516,10316,10316,10115,10115,10115,10115,10115,10115,9915,9915,9915,9915,9915,9515,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9114,9114,9114,9114,9314,9314,9314,9314,9314,9314,9314,9314,9314,9515,9713,9915,10115,10115,10115,10115,9314,9915,9915,9915,9915,9915,9915,9915,9915,9915,10115,10115,10115,10115,10115,9915,9515,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9314,9314,9314,9515,9515,9515,9515,9515,9515,9515,9314,9314,9314,9515,9515,9915,9915,9915,9713,9515,9515,9515,9515,9515,9314,9314,9114,9114,9114,9114,9114,9114,9114,9114,9314,9314,9515,9314,9314,9114,9114,9114,9114,9515,9515,9515,9314,9314,9713,9713,9713,9314,9314,9314,9314,9314,9314,9314,9314,9314,9114,9114,9114,9114,9314,9114,9114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9517,9319,9319,9319,9319,9319,9319,9319,9716,9716,9716,9716,9716,9716,9716,9716,9716,9716,9716,9716,9716,9716,9716,9517,9517,9517,9517,9517,9517,9517,9319,9319,9319,9319,9319,9319,8915,8915,9119,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9119,9119,9119,9119,9119,9119,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9517,9716,9915,9915,9915,9915,9716,9716,9915,9915,9915,9915,9915,9915,9915,9716,9716,9716,9716,9517,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9119,9119,9119,8915,8915,8915,9119,9119,8915,8915,8915,8915,8915,8915,8915,8915,8915,8915,8713,8713,8915,8915,8915,9119,8915,8915,9119,9119,9319,9319,9319,9319,9319,9319,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9716,9716,9716,9716,9716,9517,9319,9319,9319,9319,9319,9319,9319,9319,9319,9517,9517,9319,9119,9119,9319,9319,9319,9319,9319,9517,9517,9517,9517,9517,9517,9915,10114,10313,10313,10313,10313,10313,10114,10114,9915,10114,10114,10114,10114,10114,10114,10114,10114,10114,10114,10114,10114,9915,9915,9915,9915,9915,9915,9915,9716,9915,10114,10114,10114,10114,10114,10114,10114,9915,9915,9915,9915,9716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12718,13118,13318,13318,13318,13318,13318,13318,13118,12718,12318,11918,11718,11517,11116,11116,10717,10516,10115,9714,9514,9514,9514,9514,9514,9514,9314,9314,9314,9314,9314,9314,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9114,9314,9314,9314,9314,9314,9314,9714,9714,9714,9914,9914,9914,9914,9914,9914,9914,10115,10115,10115,10115,10115,9914,9914,9914,9914,9914,9914,9914,9914,9914,10115,10115,8913,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10315,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,9914,9914,9914,9914,9914,9914,9914,9714,9714,9714,9714,9714,9714,9714,9714,10115,10115,10115,10115,10115,9914,9914,9914,10115,10115,9914,9914,9914,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9914,9914,9714,9714,9714,9914,9914,9914,9914,9914,9914,9914,9914,10115,10516,10717,10717,10917,10917,10917,10917,10917,10717,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10516,10717,10717,10516,10516,10516,10516,10516,10516,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10115,10115,10115,10315,10315,10315,10315,10315,10315,10315,10315,10115,10115,10115,10115,10115,10115,10115,10115,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,13716,9914,9914,9714,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,9914,9914,9914,9914,9914,9914,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9514,9514,9514,9514,9514,9514,9514,9514,9314,9314,9314,9314,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9714,9714,9714,9714,9514,9514,9514,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9514,9514,9514,9514,9514,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9714,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9314,9514,9514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11519,11318,11318,11318,11318,11318,11318,11318,11116,10716,10516,10315,10315,10116,9915,9915,9915,9915,10116,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9915,9714,9714,9714,9714,9714,9714,9515,9515,9515,9714,9915,9915,9915,10116,10116,10116,10116,9915,9915,9915,9915,9915,9714,9714,9515,9314,9114,9114,9114,9114,8914,9114,9114,9114,9114,9314,9314,9314,9314,9314,9314,9515,9714,9714,9714,9714,9714,9714,9915,9915,9915,10116,10116,10116,10116,10116,9915,9915,9915,9915,9915,9915,9515,9515,9515,9515,11519,9515,9515,9714,9714,9714,9915,9915,9915,9915,9915,9915,9915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11722,11722,11522,11522,11722,11722,11722,11722,11722,11522,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11722,11522,11522,11522,11522,11119,10719,10719,10719,10719,10719,10719,10719,10518,11119,11319,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11722,11522,11522,11722,11522,7113,11522,11319,11319,11319,11319,11319,11319,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,11522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9715,9715,9715,9715,9715,9915,10115,10315,10315,10517,10517,10717,10717,10717,10717,10717,10717,10717,10717,10717,10917,10917,10917,10917,10917,10917,11117,11117,10917,10917,10917,10917,10917,10917,10717,10717,10717,10517,10517,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10315,10115,10115,10115,10115,10115,10115,10115,10115,9915,9915,9915,9915,9915,9915,9915,9915,9715,9715,9715,9715,9715,9915,9915,9715,9915,9915,9715,9514,9514,9514,9514,9514,9514,9514,9514,9514,9514,9715,9715,9715,9715,9315,9315,9315,9315,9514,9514,9514,9514,9514,9715,9715,9715,9715,9715,9715,9715,9915,9915,9715,9715,9715,9715,9715,9715,9715,9915,9915,9915,9715,9715,9715,9715,9715,9915,9915,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10315,10115,10115,10315,10315,10315,10315,10315,10315,10315,10315,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10115,10315,10315,10315,10315,10115,9915,9715,9514,9315,9315,9315,9315,9315,9514,9514,9514,9514,9514,9514,9514,9514,9715,9915,9915,9915,9915,9715,9715,9514,9514,9715,9715,9715,9715,9715,9715,9715,9514,9514,9315,9315,9315,9315,9315,9315,9315,9114,9114,9114,9114,9114,9114,9114,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9315,9715,10115,10517,10917,11117,10917,10917,10917,10917,10917,10717,10717,10717,10315,9915,9915,9915,9915,9915,9915,9514,9315,9315,9315,9315,9114,9114,9114,9114,9114,9315,9315,9315,9315,9315,9315,9315,9315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9114,9114,9114,9114,8914,8914,8914,8914,8914,8914,8914,8914,9114,8914,9317,9317,9517,9517,9317,9114,8914,8914,8914,8914,8914,9114,9114,9114,9114,9114,9114,9114,9114,9114,9317,9317,9517,9714,9714,9714,9714,9714,9517,9517,9517,9517,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9317,9517,9517,9517,9517,9517,9517,9317,9317,9317,9317,9317,9317,9317,9317,9114,9114,9317,9317,9517,9517,9517,9714,9714,9517,9517,9517,9517,9517,9517,9517,9517,9317,9317,9317,9317,9317,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9714,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9517,9717,9917,9717,9717,9917,9917,9917,10117,10317,10717,10917,11117,10317,10317,10117,10117,10117,9917,9917,9917,9917,9917,9917,9917,9917,9917,9917,9917,9917,9917,9917,9917,9917,9917,10117,9917,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10117,10317,10317,10117,10117,10317,10117,9917,9717,9517,9319,9319,9319,9319,9319,9319,9319,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9517,9717,9115,9319,9115,9115,9319,9319,9319,9319,9319,9319,9517,9319,9517,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9319,9517,9717,9717,9717,9717,9717,9717,9917,9917,10317,10317,10317,10317,10317,10317,10317,10317,10317,10317,10317,10117,10117,10117,9917,9917,9917,9917,9717,9717,9717,9717,10117,10516,10717,11117,10917,10917,10717,10717,10717,10717,10717,10717,10516,10317,10117,10117,10117,9917,9917,9917,10117,10117,10117,10117,10117,10117,9917,9717,9717,9517,9517,9517,9319,9319,9319,9319,9319,9319,9319,9319,9319,9517,9517,9517,9517,9517,9517,9517,9717,9717,9917,9917,9917,9917,9917,9917,9917,9717,9717,9517,9517,9319,9319,9319,9319,9319,9517,9517,9517,9917,9917,9917,9917,9917,9917,10117,10117,9917,9917,9917,9917,9917,9717,9717,9717,9917,9917,9917,9917,9917,9917,9917,10117,10317,10717,10516,10717,10117,10117,10117,9917,9717,9717,9717,9717,9319,9319,9319,9319,9319,9319,9319,9319,9717,9717,9717,9717,9717,9717,9717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
